Channel,Elevation,Azimuth
1,14.439,3.626
2,13.541,3.593
3,13.116,1.386
4,12.608,3.589
5,12.179,1.375
6,11.698,3.581
7,11.254,1.383
8,10.762,3.612
9,10.309,1.381
10,9.82,3.606
11,9.37,1.38
12,8.868,3.605
13,8.419,1.383
14,7.919,3.608
15,7.445,1.383
16,6.978,-0.839
17,6.481,1.381
18,5.992,-0.852
19,5.485,-3.033
20,5.006,-0.838
21,4.513,-3.02
22,4.007,-0.841
23,3.503,-3.033
24,3.016,-0.837
25,2.54,-3.028
26,2.05,-0.833
27,1.872,8.044
28,1.762,5.859
29,1.637,3.604
30,1.518,-3.03
31,1.392,1.396
32,1.268,-5.194
33,1.117,-7.404
34,1.027,-0.841
35,0.873,8.057
36,0.772,5.864
37,0.648,3.615
38,0.515,-3.032
39,0.394,1.394
40,0.256,-5.202
41,0.131,-7.416
42,0.027,-0.832
43,-0.131,8.063
44,-0.228,5.877
45,-0.353,3.616
46,-0.502,-3.031
47,-0.62,1.401
48,-0.741,-5.204
49,-0.871,-7.415
50,-0.997,-0.834
51,-1.134,8.079
52,-1.241,5.884
53,-1.36,3.626
54,-1.498,-3.034
55,-1.624,1.403
56,-1.768,-5.206
57,-1.891,-7.423
58,-2.017,-0.822
59,-2.123,8.092
60,-2.276,5.891
61,-2.396,3.641
62,-2.526,-3.032
63,-2.642,1.414
64,-2.795,-5.216
65,-2.895,-7.435
66,-3.03,-0.829
67,-3.146,8.107
68,-3.281,5.898
69,-3.407,3.639
70,-3.532,-3.036
71,-3.651,1.412
72,-3.816,-5.22
73,-3.914,-7.434
74,-4.063,-0.83
75,-4.135,8.118
76,-4.305,5.909
77,-4.427,3.655
78,-4.552,-3.03
79,-4.688,1.421
80,-4.817,-5.231
81,-4.925,-7.449
82,-5.067,-0.831
83,-5.177,8.139
84,-5.308,5.914
85,-5.447,3.664
86,-5.59,-3.038
87,-5.712,1.423
88,-5.836,-5.234
89,-5.942,-7.461
90,-6.108,-0.829
91,-6.61,-3.045
92,-7.133,-0.831
93,-7.642,-3.046
94,-8.141,-0.827
95,-8.635,-3.045
96,-9.134,3.702
97,-9.663,-3.049
98,-10.153,3.718
99,-10.658,1.46
100,-11.152,3.733
101,-11.662,1.466
102,-12.156,3.751
103,-12.68,1.476
104,-13.153,3.761
105,-13.666,1.487
106,-14.158,3.776
107,-14.658,1.495
108,-15.109,3.792
109,-15.638,1.504
110,-16.121,3.804
111,-16.619,1.518
112,-17.128,-0.792
113,-17.582,1.513
114,-18.08,-0.784
115,-18.554,-3.049
116,-19.04,-0.778
117,-19.493,-3.048
118,-19.997,-0.775
119,-20.441,-3.038
120,-20.942,-0.772
121,-21.396,-3.044
122,-21.867,-0.767
123,-22.299,-3.046
124,-22.782,-0.764
125,-23.215,-3.042
126,-23.693,-0.763
127,-24.113,-3.037
128,-25.004,-3.032
