Channel,Elevation,Azimuth
1,14.368,3.413
2,13.452,3.406
3,13.009,1.252
4,12.547,3.409
5,12.081,1.25
6,11.63,3.411
7,11.168,1.245
8,10.699,3.409
9,10.256,1.24
10,9.755,3.411
11,9.292,1.24
12,8.809,3.406
13,8.344,1.234
14,7.847,3.405
15,7.4,1.232
16,6.901,-0.995
17,6.42,1.223
18,5.911,-0.993
19,5.423,-3.184
20,4.946,-0.991
21,4.443,-3.19
22,3.964,-0.998
23,3.453,-3.189
24,2.971,-1
25,2.482,-3.194
26,1.987,-0.996
27,1.807,7.886
28,1.691,5.668
29,1.601,3.411
30,1.471,-3.194
31,1.356,1.203
32,1.221,-5.374
33,1.068,-7.556
34,0.973,-1.005
35,0.827,7.897
36,0.7,5.694
37,0.584,3.415
38,0.487,-3.197
39,0.377,1.202
40,0.214,-5.384
41,0.094,-7.555
42,-0.013,-1.002
43,-0.183,7.91
44,-0.315,5.688
45,-0.401,3.421
46,-0.528,-3.208
47,-0.645,1.209
48,-0.779,-5.398
49,-0.897,-7.584
50,-1.025,-1.004
51,-1.192,7.921
52,-1.313,5.706
53,-1.414,3.429
54,-1.538,-3.205
55,-1.678,1.213
56,-1.799,-5.391
57,-1.914,-7.584
58,-2.034,-1.005
59,-2.196,7.927
60,-2.327,5.709
61,-2.44,3.428
62,-2.563,-3.209
63,-2.682,1.201
64,-2.803,-5.399
65,-2.918,-7.591
66,-3.076,-1.006
67,-3.198,7.945
68,-3.354,5.722
69,-3.443,3.437
70,-3.565,-3.219
71,-3.71,1.212
72,-3.84,-5.417
73,-3.936,-7.599
74,-4.097,-1.012
75,-4.225,7.955
76,-4.379,5.716
77,-4.468,3.438
78,-4.592,-3.225
79,-4.73,1.212
80,-4.856,-5.416
81,-4.945,-7.617
82,-5.099,-1.01
83,-5.236,7.967
84,-5.362,5.735
85,-5.493,3.445
86,-5.598,-3.229
87,-5.726,1.216
88,-5.829,-5.431
89,-5.961,-7.63
90,-6.132,-1.015
91,-6.62,-3.235
92,-7.144,-1.011
93,-7.645,-3.241
94,-8.161,-1.017
95,-8.659,-3.238
96,-9.182,3.47
97,-9.677,-3.244
98,-10.19,3.482
99,-10.706,1.233
100,-11.201,3.485
101,-11.696,1.237
102,-12.194,3.495
103,-12.702,1.246
104,-13.191,3.487
105,-13.68,1.255
106,-14.182,3.524
107,-14.688,1.26
108,-15.171,3.525
109,-15.676,1.27
110,-16.158,3.537
111,-16.658,1.283
112,-17.148,-1.006
113,-17.637,1.292
114,-18.11,-1.009
115,-18.572,-3.275
116,-19.072,-1
117,-19.511,-3.277
118,-20.028,-1
119,-20.471,-3.278
120,-20.954,-0.997
121,-21.397,-3.277
122,-21.906,-1.001
123,-22.319,-3.27
124,-22.82,-0.995
125,-23.248,-3.278
126,-23.742,-0.994
127,-24.147,-3.272
128,-25.045,-3.276
