Channel,Elevation,Azimuth
1,14.41,3.48
2,13.497,3.479
3,13.049,1.273
4,12.617,3.477
5,12.175,1.279
6,11.673,3.483
7,11.208,1.282
8,10.755,3.479
9,10.286,1.271
10,9.806,3.479
11,9.351,1.268
12,8.874,3.48
13,8.392,1.269
14,7.89,3.484
15,7.434,1.262
16,6.918,-0.927
17,6.47,1.263
18,5.945,-0.926
19,5.453,-3.135
20,4.97,-0.927
21,4.492,-3.137
22,4.004,-0.924
23,3.503,-3.131
24,3.007,-0.936
25,2.508,-3.135
26,2.012,-0.939
27,1.849,7.962
28,1.755,5.752
29,1.638,3.504
30,1.504,-3.138
31,1.397,1.264
32,1.237,-5.331
33,1.103,-7.54
34,1.01,-0.935
35,0.86,7.969
36,0.753,5.765
37,0.654,3.505
38,0.521,-3.144
39,0.393,1.261
40,0.247,-5.327
41,0.128,-7.55
42,0.009,-0.947
43,-0.13,7.977
44,-0.233,5.761
45,-0.367,3.515
46,-0.491,-3.141
47,-0.616,1.264
48,-0.762,-5.343
49,-0.886,-7.549
50,-1,-0.939
51,-1.119,7.99
52,-1.253,5.784
53,-1.377,3.523
54,-1.503,-3.151
55,-1.631,1.269
56,-1.753,-5.341
57,-1.891,-7.562
58,-1.996,-0.945
59,-2.151,8.002
60,-2.258,5.779
61,-2.413,3.532
62,-2.522,-3.15
63,-2.637,1.265
64,-2.784,-5.355
65,-2.911,-7.576
66,-3.034,-0.95
67,-3.148,8.018
68,-3.278,5.787
69,-3.414,3.537
70,-3.517,-3.157
71,-3.669,1.267
72,-3.799,-5.359
73,-3.889,-7.599
74,-4.045,-0.956
75,-4.183,8.032
76,-4.292,5.796
77,-4.424,3.544
78,-4.548,-3.163
79,-4.66,1.281
80,-4.801,-5.374
81,-4.936,-7.6
82,-5.052,-0.953
83,-5.178,8.045
84,-5.305,5.812
85,-5.452,3.549
86,-5.57,-3.165
87,-5.688,1.282
88,-5.809,-5.376
89,-5.931,-7.609
90,-6.078,-0.956
91,-6.609,-3.17
92,-7.1,-0.968
93,-7.592,-3.174
94,-8.12,-0.965
95,-8.626,-3.185
96,-9.113,3.578
97,-9.653,-3.182
98,-10.146,3.598
99,-10.651,1.3
100,-11.151,3.608
101,-11.668,1.305
102,-12.156,3.621
103,-12.66,1.309
104,-13.156,3.628
105,-13.648,1.317
106,-14.165,3.617
107,-14.653,1.331
108,-15.141,3.628
109,-15.641,1.329
110,-16.12,3.631
111,-16.611,1.337
112,-17.105,-0.985
113,-17.575,1.34
114,-18.064,-0.984
115,-18.524,-3.223
116,-19.018,-0.987
117,-19.478,-3.219
118,-19.991,-0.989
119,-20.463,-3.216
120,-20.944,-0.988
121,-21.369,-3.217
122,-21.857,-1.002
123,-22.308,-3.225
124,-22.777,-1.005
125,-23.24,-3.231
126,-23.686,-1.005
127,-24.119,-3.237
128,-25.032,-3.234
