Channel,Elevation,Azimuth
1,14.456,3.441
2,13.552,3.445
3,13.126,1.247
4,12.656,3.431
5,12.191,1.242
6,11.719,3.411
7,11.245,1.239
8,10.777,3.411
9,10.313,1.235
10,9.845,3.404
11,9.371,1.225
12,8.891,3.406
13,8.413,1.225
14,7.914,3.406
15,7.431,1.224
16,6.989,-1.007
17,6.489,1.207
18,5.978,-0.999
19,5.51,-3.164
20,5.007,-1.008
21,4.546,-3.164
22,4.033,-1.009
23,3.511,-3.167
24,3.053,-1.007
25,2.537,-3.16
26,2.045,-1.013
27,1.907,7.896
28,1.782,5.685
29,1.653,3.432
30,1.548,-3.168
31,1.407,1.198
32,1.249,-5.389
33,1.12,-7.597
34,1.045,-1.013
35,0.914,7.908
36,0.786,5.692
37,0.633,3.424
38,0.543,-3.175
39,0.376,1.205
40,0.263,-5.389
41,0.143,-7.609
42,0.032,-1.012
43,-0.115,7.932
44,-0.224,5.704
45,-0.364,3.438
46,-0.476,-3.179
47,-0.611,1.202
48,-0.745,-5.399
49,-0.865,-7.618
50,-0.993,-1.014
51,-1.101,7.941
52,-1.225,5.72
53,-1.377,3.438
54,-1.485,-3.187
55,-1.646,1.207
56,-1.759,-5.404
57,-1.898,-7.62
58,-2.023,-1.012
59,-2.135,7.955
60,-2.247,5.724
61,-2.399,3.437
62,-2.513,-3.186
63,-2.649,1.214
64,-2.773,-5.404
65,-2.888,-7.628
66,-3.038,-1.013
67,-3.12,7.967
68,-3.273,5.741
69,-3.4,3.45
70,-3.532,-3.189
71,-3.702,1.216
72,-3.815,-5.411
73,-3.924,-7.634
74,-4.03,-1.023
75,-4.167,7.987
76,-4.293,5.75
77,-4.439,3.45
78,-4.554,-3.196
79,-4.701,1.214
80,-4.793,-5.428
81,-4.907,-7.646
82,-5.054,-1.024
83,-5.17,7.997
84,-5.311,5.759
85,-5.47,3.469
86,-5.581,-3.206
87,-5.748,1.22
88,-5.825,-5.423
89,-5.957,-7.658
90,-6.102,-1.016
91,-6.607,-3.208
92,-7.113,-1.025
93,-7.612,-3.213
94,-8.116,-1.018
95,-8.645,-3.216
96,-9.142,3.494
97,-9.622,-3.224
98,-10.164,3.513
99,-10.693,1.247
100,-11.172,3.516
101,-11.682,1.255
102,-12.191,3.532
103,-12.678,1.263
104,-13.165,3.534
105,-13.705,1.275
106,-14.169,3.543
107,-14.684,1.279
108,-15.14,3.555
109,-15.647,1.283
110,-16.15,3.579
111,-16.665,1.302
112,-17.1,-1
113,-17.593,1.299
114,-18.07,-0.999
115,-18.533,-3.235
116,-19.043,-0.99
117,-19.501,-3.225
118,-20.005,-0.983
119,-20.452,-3.225
120,-20.938,-0.983
121,-21.381,-3.231
122,-21.845,-0.983
123,-22.308,-3.234
124,-22.779,-0.975
125,-23.19,-3.244
126,-23.666,-0.972
127,-24.096,-3.244
128,-24.989,-3.242
