Channel,Elevation,Azimuth
1,14.404,3.44
2,13.487,3.436
3,13.072,1.24
4,12.622,3.434
5,12.14,1.239
6,11.692,3.432
7,11.203,1.245
8,10.74,3.443
9,10.266,1.24
10,9.785,3.444
11,9.316,1.242
12,8.808,3.443
13,8.36,1.24
14,7.849,3.444
15,7.403,1.236
16,6.928,-0.973
17,6.432,1.236
18,5.947,-0.974
19,5.426,-3.17
20,4.965,-0.982
21,4.442,-3.163
22,3.968,-0.975
23,3.458,-3.16
24,2.979,-0.98
25,2.473,-3.165
26,1.953,-0.979
27,1.829,7.901
28,1.706,5.703
29,1.609,3.469
30,1.463,-3.16
31,1.359,1.249
32,1.234,-5.368
33,1.089,-7.549
34,0.963,-0.978
35,0.842,7.909
36,0.73,5.719
37,0.581,3.474
38,0.462,-3.163
39,0.32,1.25
40,0.227,-5.373
41,0.065,-7.567
42,-0.017,-0.977
43,-0.172,7.931
44,-0.302,5.727
45,-0.446,3.494
46,-0.553,-3.168
47,-0.651,1.254
48,-0.777,-5.382
49,-0.924,-7.574
50,-1.039,-0.974
51,-1.163,7.948
52,-1.298,5.738
53,-1.439,3.508
54,-1.538,-3.172
55,-1.68,1.256
56,-1.794,-5.378
57,-1.918,-7.58
58,-2.034,-0.976
59,-2.17,7.959
60,-2.316,5.733
61,-2.455,3.505
62,-2.577,-3.164
63,-2.713,1.269
64,-2.796,-5.388
65,-2.921,-7.591
66,-3.068,-0.98
67,-3.183,7.97
68,-3.34,5.768
69,-3.468,3.53
70,-3.594,-3.171
71,-3.703,1.264
72,-3.813,-5.395
73,-3.926,-7.603
74,-4.07,-0.973
75,-4.204,7.985
76,-4.349,5.756
77,-4.513,3.54
78,-4.595,-3.17
79,-4.735,1.275
80,-4.845,-5.403
81,-4.942,-7.606
82,-5.125,-0.985
83,-5.221,8.002
84,-5.374,5.768
85,-5.516,3.55
86,-5.609,-3.169
87,-5.757,1.273
88,-5.855,-5.406
89,-5.971,-7.617
90,-6.134,-0.98
91,-6.625,-3.17
92,-7.154,-0.976
93,-7.668,-3.169
94,-8.174,-0.977
95,-8.659,-3.173
96,-9.19,3.584
97,-9.679,-3.176
98,-10.207,3.582
99,-10.711,1.305
100,-11.204,3.617
101,-11.71,1.312
102,-12.201,3.62
103,-12.71,1.327
104,-13.197,3.648
105,-13.712,1.332
106,-14.186,3.64
107,-14.671,1.35
108,-15.154,3.682
109,-15.672,1.357
110,-16.152,3.695
111,-16.666,1.362
112,-17.12,-0.94
113,-17.62,1.394
114,-18.096,-0.925
115,-18.551,-3.166
116,-19.053,-0.924
117,-19.499,-3.165
118,-20.007,-0.914
119,-20.442,-3.162
120,-20.942,-0.908
121,-21.376,-3.159
122,-21.87,-0.902
123,-22.292,-3.157
124,-22.774,-0.901
125,-23.206,-3.156
126,-23.708,-0.895
127,-24.121,-3.162
128,-25.01,-3.16
