Channel,Elevation,Azimuth
1,14.433,3.518
2,13.546,3.53
3,13.095,1.332
4,12.615,3.526
5,12.168,1.347
6,11.707,3.536
7,11.244,1.341
8,10.774,3.537
9,10.325,1.345
10,9.825,3.54
11,9.354,1.34
12,8.854,3.541
13,8.409,1.336
14,7.914,3.536
15,7.434,1.34
16,6.965,-0.866
17,6.489,1.332
18,5.973,-0.869
19,5.484,-3.095
20,4.996,-0.873
21,4.492,-3.108
22,3.987,-0.865
23,3.507,-3.106
24,3.031,-0.871
25,2.518,-3.093
26,2.014,-0.873
27,1.873,7.974
28,1.754,5.792
29,1.657,3.556
30,1.504,-3.106
31,1.387,1.331
32,1.261,-5.283
33,1.09,-7.49
34,1.013,-0.875
35,0.886,7.989
36,0.756,5.807
37,0.641,3.566
38,0.525,-3.107
39,0.388,1.339
40,0.257,-5.293
41,0.128,-7.498
42,0.006,-0.877
43,-0.134,8.002
44,-0.256,5.818
45,-0.366,3.568
46,-0.496,-3.106
47,-0.594,1.341
48,-0.745,-5.299
49,-0.877,-7.504
50,-1.011,-0.885
51,-1.135,8.015
52,-1.251,5.821
53,-1.373,3.589
54,-1.495,-3.109
55,-1.643,1.338
56,-1.762,-5.302
57,-1.906,-7.508
58,-2.03,-0.886
59,-2.153,8.022
60,-2.268,5.831
61,-2.415,3.587
62,-2.523,-3.11
63,-2.655,1.351
64,-2.779,-5.308
65,-2.899,-7.517
66,-3.04,-0.887
67,-3.14,8.045
68,-3.279,5.848
69,-3.414,3.593
70,-3.547,-3.11
71,-3.677,1.361
72,-3.795,-5.304
73,-3.902,-7.52
74,-4.077,-0.903
75,-4.163,8.055
76,-4.291,5.862
77,-4.457,3.602
78,-4.609,-3.12
79,-4.716,1.348
80,-4.813,-5.31
81,-4.91,-7.531
82,-5.108,-0.896
83,-5.182,8.069
84,-5.324,5.869
85,-5.451,3.62
86,-5.58,-3.118
87,-5.73,1.365
88,-5.816,-5.317
89,-5.928,-7.544
90,-6.121,-0.898
91,-6.623,-3.126
92,-7.129,-0.904
93,-7.636,-3.134
94,-8.129,-0.9
95,-8.65,-3.129
96,-9.139,3.649
97,-9.647,-3.132
98,-10.17,3.675
99,-10.666,1.39
100,-11.149,3.697
101,-11.688,1.39
102,-12.164,3.695
103,-12.669,1.402
104,-13.167,3.703
105,-13.683,1.409
106,-14.158,3.732
107,-14.663,1.42
108,-15.145,3.745
109,-15.665,1.428
110,-16.106,3.76
111,-16.637,1.433
112,-17.13,-0.892
113,-17.604,1.439
114,-18.096,-0.893
115,-18.547,-3.158
116,-19.047,-0.893
117,-19.515,-3.169
118,-20.004,-0.886
119,-20.456,-3.17
120,-20.926,-0.886
121,-21.375,-3.175
122,-21.874,-0.887
123,-22.307,-3.169
124,-22.798,-0.89
125,-23.23,-3.177
126,-23.702,-0.88
127,-24.13,-3.179
128,-25.017,-3.178
