Channel,Elevation,Azimuth
1,14.411,3.38
2,13.498,3.384
3,13.101,1.189
4,12.606,3.377
5,12.155,1.207
6,11.691,3.377
7,11.23,1.201
8,10.743,3.388
9,10.302,1.204
10,9.79,3.385
11,9.345,1.188
12,8.857,3.377
13,8.371,1.181
14,7.84,3.392
15,7.42,1.183
16,6.932,-1.012
17,6.444,1.182
18,5.967,-1.008
19,5.433,-3.213
20,4.973,-1.003
21,4.451,-3.22
22,3.965,-1.012
23,3.466,-3.214
24,3.001,-1.008
25,2.476,-3.206
26,1.989,-1.009
27,1.855,7.894
28,1.773,5.648
29,1.613,3.418
30,1.481,-3.212
31,1.386,1.194
32,1.241,-5.401
33,1.086,-7.602
34,0.977,-1.008
35,0.853,7.911
36,0.744,5.654
37,0.604,3.43
38,0.473,-3.215
39,0.381,1.202
40,0.225,-5.405
41,0.117,-7.609
42,-0.007,-1.003
43,-0.173,7.922
44,-0.255,5.671
45,-0.385,3.435
46,-0.532,-3.209
47,-0.625,1.203
48,-0.781,-5.407
49,-0.898,-7.616
50,-1.022,-1.008
51,-1.142,7.937
52,-1.286,5.678
53,-1.395,3.445
54,-1.522,-3.215
55,-1.648,1.212
56,-1.781,-5.419
57,-1.935,-7.637
58,-2.04,-1.009
59,-2.147,7.915
60,-2.283,5.685
61,-2.411,3.457
62,-2.529,-3.208
63,-2.648,1.218
64,-2.792,-5.415
65,-2.916,-7.636
66,-3.065,-1.013
67,-3.156,7.947
68,-3.32,5.693
69,-3.433,3.463
70,-3.562,-3.208
71,-3.683,1.224
72,-3.809,-5.422
73,-3.923,-7.645
74,-4.068,-1.014
75,-4.177,7.962
76,-4.331,5.709
77,-4.456,3.469
78,-4.579,-3.212
79,-4.73,1.229
80,-4.821,-5.425
81,-4.934,-7.652
82,-5.105,-1.017
83,-5.184,7.992
84,-5.338,5.722
85,-5.464,3.475
86,-5.585,-3.208
87,-5.725,1.233
88,-5.836,-5.434
89,-5.945,-7.667
90,-6.106,-1.019
91,-6.612,-3.218
92,-7.13,-1.016
93,-7.635,-3.223
94,-8.155,-1.014
95,-8.667,-3.217
96,-9.159,3.527
97,-9.676,-3.227
98,-10.173,3.539
99,-10.645,1.278
100,-11.188,3.553
101,-11.686,1.291
102,-12.186,3.564
103,-12.686,1.295
104,-13.199,3.579
105,-13.684,1.307
106,-14.166,3.585
107,-14.681,1.312
108,-15.166,3.609
109,-15.651,1.337
110,-16.149,3.62
111,-16.634,1.35
112,-17.143,-0.981
113,-17.599,1.345
114,-18.099,-0.975
115,-18.559,-3.241
116,-19.052,-0.966
117,-19.537,-3.246
118,-20.013,-0.949
119,-20.465,-3.236
120,-20.948,-0.946
121,-21.427,-3.239
122,-21.905,-0.967
123,-22.332,-3.232
124,-22.809,-0.945
125,-23.257,-3.227
126,-23.705,-0.931
127,-24.168,-3.226
128,-25.037,-3.221
