Channel,Elevation,Azimuth
1,14.438,3.361
2,13.527,3.387
3,13.063,1.193
4,12.62,3.39
5,12.144,1.194
6,11.702,3.383
7,11.229,1.195
8,10.768,3.38
9,10.299,1.187
10,9.853,3.373
11,9.351,1.191
12,8.882,3.389
13,8.396,1.185
14,7.928,3.372
15,7.431,1.193
16,6.952,-1.041
17,6.464,1.183
18,5.982,-1.038
19,5.488,-3.209
20,5.011,-1.045
21,4.509,-3.215
22,3.999,-1.039
23,3.52,-3.224
24,3.018,-1.04
25,2.537,-3.227
26,2.011,-1.043
27,1.884,7.835
28,1.761,5.635
29,1.655,3.386
30,1.526,-3.221
31,1.404,1.187
32,1.259,-5.448
33,1.129,-7.629
34,1.023,-1.048
35,0.873,7.847
36,0.781,5.634
37,0.656,3.392
38,0.538,-3.232
39,0.387,1.186
40,0.273,-5.451
41,0.138,-7.637
42,0.047,-1.041
43,-0.121,7.863
44,-0.219,5.648
45,-0.364,3.399
46,-0.48,-3.235
47,-0.616,1.196
48,-0.723,-5.46
49,-0.858,-7.647
50,-0.981,-1.045
51,-1.132,7.869
52,-1.231,5.656
53,-1.367,3.404
54,-1.495,-3.239
55,-1.617,1.198
56,-1.75,-5.456
57,-1.867,-7.654
58,-2.008,-1.042
59,-2.131,7.888
60,-2.279,5.669
61,-2.375,3.411
62,-2.508,-3.246
63,-2.658,1.199
64,-2.762,-5.48
65,-2.897,-7.664
66,-3.032,-1.047
67,-3.137,7.896
68,-3.272,5.677
69,-3.4,3.422
70,-3.534,-3.256
71,-3.66,1.203
72,-3.775,-5.466
73,-3.891,-7.682
74,-4.059,-1.053
75,-4.156,7.907
76,-4.288,5.68
77,-4.437,3.43
78,-4.544,-3.256
79,-4.689,1.204
80,-4.8,-5.468
81,-4.921,-7.687
82,-5.047,-1.047
83,-5.181,7.925
84,-5.328,5.69
85,-5.435,3.433
86,-5.564,-3.246
87,-5.701,1.205
88,-5.82,-5.491
89,-5.938,-7.695
90,-6.086,-1.055
91,-6.59,-3.266
92,-7.126,-1.06
93,-7.592,-3.269
94,-8.135,-1.059
95,-8.622,-3.281
96,-9.119,3.478
97,-9.626,-3.279
98,-10.132,3.484
99,-10.679,1.224
100,-11.162,3.497
101,-11.677,1.224
102,-12.158,3.496
103,-12.664,1.237
104,-13.149,3.513
105,-13.67,1.245
106,-14.135,3.524
107,-14.656,1.247
108,-15.134,3.528
109,-15.639,1.254
110,-16.121,3.541
111,-16.633,1.265
112,-17.102,-1.048
113,-17.591,1.272
114,-18.061,-1.036
115,-18.507,-3.3
116,-19.039,-1.03
117,-19.463,-3.299
118,-19.98,-1.024
119,-20.4,-3.305
120,-20.924,-1.021
121,-21.341,-3.304
122,-21.858,-1.015
123,-22.277,-3.304
124,-22.775,-1.017
125,-23.198,-3.302
126,-23.688,-1.013
127,-24.093,-3.301
128,-24.96,-3.305
