Channel,Elevation,Azimuth
1,14.379,3.133
2,13.478,3.144
3,13.062,0.918
4,12.555,3.152
5,12.121,0.922
6,11.621,3.165
7,11.207,0.928
8,10.719,3.154
9,10.271,0.925
10,9.768,3.16
11,9.319,0.935
12,8.823,3.167
13,8.37,0.943
14,7.886,3.16
15,7.415,0.951
16,6.915,-1.267
17,6.439,0.954
18,5.938,-1.271
19,5.452,-3.454
20,4.968,-1.265
21,4.456,-3.448
22,3.967,-1.261
23,3.483,-3.438
24,2.987,-1.25
25,2.478,-3.445
26,1.985,-1.253
27,1.843,7.611
28,1.72,5.428
29,1.607,3.202
30,1.48,-3.443
31,1.36,0.961
32,1.228,-5.631
33,1.115,-7.837
34,0.985,-1.255
35,0.831,7.622
36,0.735,5.438
37,0.592,3.212
38,0.482,-3.45
39,0.373,0.984
40,0.238,-5.631
41,0.088,-7.845
42,-0.024,-1.244
43,-0.169,7.644
44,-0.274,5.449
45,-0.418,3.225
46,-0.524,-3.435
47,-0.665,0.983
48,-0.757,-5.63
49,-0.892,-7.843
50,-1.031,-1.244
51,-1.164,7.652
52,-1.289,5.456
53,-1.413,3.224
54,-1.531,-3.443
55,-1.664,0.984
56,-1.781,-5.642
57,-1.918,-7.856
58,-2.06,-1.259
59,-2.174,7.675
60,-2.293,5.465
61,-2.432,3.233
62,-2.56,-3.441
63,-2.68,1.004
64,-2.803,-5.645
65,-2.901,-7.86
66,-3.054,-1.247
67,-3.186,7.698
68,-3.322,5.483
69,-3.433,3.246
70,-3.568,-3.442
71,-3.705,1.008
72,-3.816,-5.644
73,-3.918,-7.869
74,-4.095,-1.246
75,-4.2,7.717
76,-4.324,5.49
77,-4.477,3.26
78,-4.58,-3.452
79,-4.728,1.011
80,-4.82,-5.647
81,-4.931,-7.878
82,-5.107,-1.245
83,-5.211,7.715
84,-5.353,5.504
85,-5.498,3.264
86,-5.606,-3.446
87,-5.758,1.008
88,-5.851,-5.664
89,-5.946,-7.891
90,-6.118,-1.249
91,-6.618,-3.453
92,-7.125,-1.244
93,-7.655,-3.457
94,-8.159,-1.247
95,-8.664,-3.463
96,-9.165,3.307
97,-9.682,-3.464
98,-10.191,3.333
99,-10.695,1.033
100,-11.206,3.345
101,-11.687,1.05
102,-12.212,3.361
103,-12.72,1.051
104,-13.218,3.379
105,-13.682,1.062
106,-14.177,3.385
107,-14.708,1.069
108,-15.192,3.4
109,-15.664,1.076
110,-16.17,3.414
111,-16.656,1.081
112,-17.132,-1.217
113,-17.617,1.092
114,-18.104,-1.21
115,-18.565,-3.482
116,-19.043,-1.213
117,-19.518,-3.477
118,-20.02,-1.203
119,-20.463,-3.48
120,-20.954,-1.202
121,-21.398,-3.478
122,-21.896,-1.2
123,-22.341,-3.476
124,-22.804,-1.202
125,-23.248,-3.481
126,-23.715,-1.204
127,-24.152,-3.486
128,-25.044,-3.485
