Channel,Elevation,Azimuth
1,14.449,3.32
2,13.532,3.323
3,13.087,1.113
4,12.627,3.323
5,12.194,1.114
6,11.703,3.318
7,11.256,1.113
8,10.782,3.318
9,10.322,1.12
10,9.807,3.311
11,9.382,1.118
12,8.883,3.317
13,8.42,1.11
14,7.894,3.315
15,7.429,1.114
16,6.922,-1.106
17,6.471,1.108
18,5.966,-1.1
19,5.452,-3.281
20,4.975,-1.106
21,4.485,-3.285
22,4.003,-1.115
23,3.488,-3.29
24,3.017,-1.116
25,2.502,-3.297
26,2.006,-1.111
27,1.856,7.776
28,1.749,5.547
29,1.629,3.325
30,1.501,-3.297
31,1.405,1.097
32,1.253,-5.472
33,1.121,-7.674
34,1.005,-1.115
35,0.857,7.784
36,0.748,5.556
37,0.631,3.322
38,0.523,-3.296
39,0.393,1.11
40,0.245,-5.481
41,0.105,-7.687
42,-0.011,-1.117
43,-0.116,7.796
44,-0.235,5.566
45,-0.369,3.327
46,-0.51,-3.301
47,-0.619,1.109
48,-0.763,-5.485
49,-0.897,-7.699
50,-1.008,-1.121
51,-1.125,7.796
52,-1.282,5.587
53,-1.393,3.336
54,-1.514,-3.306
55,-1.635,1.111
56,-1.777,-5.49
57,-1.894,-7.706
58,-2.031,-1.124
59,-2.145,7.816
60,-2.274,5.581
61,-2.394,3.35
62,-2.533,-3.311
63,-2.628,1.113
64,-2.763,-5.503
65,-2.917,-7.716
66,-3.041,-1.126
67,-3.156,7.829
68,-3.28,5.595
69,-3.417,3.345
70,-3.561,-3.31
71,-3.691,1.116
72,-3.796,-5.509
73,-3.901,-7.724
74,-4.05,-1.133
75,-4.17,7.84
76,-4.32,5.606
77,-4.456,3.346
78,-4.567,-3.32
79,-4.697,1.113
80,-4.797,-5.519
81,-4.947,-7.746
82,-5.073,-1.134
83,-5.189,7.852
84,-5.332,5.599
85,-5.439,3.363
86,-5.567,-3.325
87,-5.707,1.117
88,-5.812,-5.526
89,-5.95,-7.756
90,-6.081,-1.141
91,-6.605,-3.334
92,-7.145,-1.138
93,-7.615,-3.341
94,-8.147,-1.14
95,-8.626,-3.343
96,-9.153,3.389
97,-9.645,-3.343
98,-10.16,3.403
99,-10.668,1.127
100,-11.139,3.411
101,-11.657,1.133
102,-12.137,3.423
103,-12.645,1.136
104,-13.16,3.433
105,-13.645,1.141
106,-14.131,3.442
107,-14.652,1.145
108,-15.129,3.449
109,-15.629,1.15
110,-16.112,3.466
111,-16.603,1.151
112,-17.103,-1.146
113,-17.575,1.156
114,-18.062,-1.149
115,-18.519,-3.401
116,-19.042,-1.145
117,-19.474,-3.404
118,-19.987,-1.145
119,-20.422,-3.405
120,-20.915,-1.147
121,-21.35,-3.416
122,-21.845,-1.141
123,-22.275,-3.422
124,-22.77,-1.156
125,-23.18,-3.433
126,-23.676,-1.159
127,-24.107,-3.441
128,-24.989,-3.446
