Channel,Elevation,Azimuth
1,14.435,3.554
2,13.534,3.565
3,13.099,1.368
4,12.602,3.576
5,12.14,1.381
6,11.684,3.565
7,11.234,1.372
8,10.759,3.563
9,10.306,1.375
10,9.815,3.565
11,9.346,1.373
12,8.863,3.561
13,8.374,1.373
14,7.918,3.546
15,7.423,1.366
16,6.96,-0.861
17,6.469,1.374
18,5.986,-0.868
19,5.469,-3.056
20,5.005,-0.875
21,4.496,-3.06
22,4.004,-0.863
23,3.508,-3.063
24,3.031,-0.869
25,2.509,-3.061
26,2.023,-0.876
27,1.862,8.002
28,1.774,5.784
29,1.654,3.564
30,1.522,-3.059
31,1.39,1.358
32,1.244,-5.268
33,1.124,-7.478
34,1.007,-0.873
35,0.88,8.01
36,0.766,5.795
37,0.65,3.564
38,0.515,-3.07
39,0.403,1.361
40,0.261,-5.27
41,0.129,-7.475
42,0.015,-0.876
43,-0.116,8.022
44,-0.248,5.808
45,-0.384,3.567
46,-0.496,-3.071
47,-0.614,1.359
48,-0.753,-5.273
49,-0.865,-7.49
50,-0.995,-0.88
51,-1.115,8.037
52,-1.255,5.811
53,-1.377,3.574
54,-1.502,-3.075
55,-1.627,1.361
56,-1.776,-5.281
57,-1.875,-7.5
58,-1.998,-0.881
59,-2.156,8.05
60,-2.284,5.824
61,-2.42,3.58
62,-2.517,-3.08
63,-2.672,1.356
64,-2.757,-5.285
65,-2.899,-7.511
66,-3.049,-0.887
67,-3.173,8.057
68,-3.283,5.829
69,-3.416,3.592
70,-3.551,-3.084
71,-3.692,1.364
72,-3.806,-5.295
73,-3.912,-7.524
74,-4.04,-0.889
75,-4.161,8.064
76,-4.313,5.826
77,-4.472,3.592
78,-4.56,-3.091
79,-4.692,1.369
80,-4.807,-5.306
81,-4.917,-7.54
82,-5.076,-0.895
83,-5.186,8.084
84,-5.331,5.851
85,-5.472,3.605
86,-5.59,-3.092
87,-5.728,1.361
88,-5.84,-5.323
89,-5.938,-7.559
90,-6.081,-0.892
91,-6.601,-3.098
92,-7.123,-0.903
93,-7.624,-3.107
94,-8.134,-0.899
95,-8.626,-3.116
96,-9.141,3.641
97,-9.648,-3.118
98,-10.144,3.64
99,-10.68,1.375
100,-11.184,3.654
101,-11.685,1.377
102,-12.194,3.657
103,-12.665,1.386
104,-13.16,3.672
105,-13.67,1.395
106,-14.165,3.695
107,-14.662,1.402
108,-15.154,3.713
109,-15.648,1.412
110,-16.139,3.7
111,-16.639,1.415
112,-17.119,-0.896
113,-17.6,1.42
114,-18.09,-0.901
115,-18.519,-3.165
116,-19.036,-0.899
117,-19.506,-3.162
118,-19.996,-0.895
119,-20.456,-3.151
120,-20.936,-0.9
121,-21.392,-3.173
122,-21.876,-0.9
123,-22.308,-3.177
124,-22.796,-0.884
125,-23.224,-3.182
126,-23.709,-0.9
127,-24.152,-3.195
128,-25.017,-3.198
