Channel,Elevation,Azimuth
1,14.435,3.389
2,13.525,3.381
3,13.06,1.15
4,12.632,3.372
5,12.155,1.154
6,11.709,3.369
7,11.231,1.164
8,10.758,3.377
9,10.302,1.159
10,9.813,3.377
11,9.354,1.152
12,8.865,3.379
13,8.415,1.152
14,7.904,3.381
15,7.437,1.146
16,6.946,-1.077
17,6.471,1.148
18,5.97,-1.077
19,5.479,-3.264
20,4.989,-1.081
21,4.505,-3.268
22,4.007,-1.075
23,3.505,-3.268
24,3.039,-1.072
25,2.515,-3.269
26,2.013,-1.074
27,1.87,7.838
28,1.773,5.629
29,1.657,3.374
30,1.524,-3.276
31,1.407,1.136
32,1.252,-5.468
33,1.107,-7.616
34,1.024,-1.078
35,0.895,7.85
36,0.777,5.639
37,0.653,3.383
38,0.527,-3.284
39,0.409,1.146
40,0.276,-5.48
41,0.122,-7.631
42,-0.001,-1.091
43,-0.113,7.853
44,-0.236,5.643
45,-0.34,3.382
46,-0.498,-3.288
47,-0.618,1.148
48,-0.741,-5.484
49,-0.85,-7.641
50,-0.965,-1.088
51,-1.121,7.861
52,-1.237,5.649
53,-1.363,3.393
54,-1.49,-3.296
55,-1.622,1.15
56,-1.744,-5.488
57,-1.88,-7.652
58,-2.005,-1.097
59,-2.108,7.877
60,-2.266,5.658
61,-2.391,3.399
62,-2.504,-3.297
63,-2.641,1.149
64,-2.769,-5.498
65,-2.901,-7.667
66,-3.021,-1.099
67,-3.15,7.902
68,-3.264,5.656
69,-3.414,3.407
70,-3.535,-3.3
71,-3.649,1.152
72,-3.781,-5.5
73,-3.906,-7.676
74,-4.046,-1.103
75,-4.152,7.915
76,-4.274,5.665
77,-4.42,3.405
78,-4.556,-3.307
79,-4.684,1.15
80,-4.803,-5.508
81,-4.916,-7.681
82,-5.07,-1.113
83,-5.151,7.912
84,-5.303,5.676
85,-5.449,3.411
86,-5.574,-3.311
87,-5.702,1.151
88,-5.798,-5.519
89,-5.933,-7.692
90,-6.084,-1.107
91,-6.593,-3.31
92,-7.11,-1.108
93,-7.616,-3.318
94,-8.131,-1.112
95,-8.632,-3.322
96,-9.113,3.437
97,-9.631,-3.332
98,-10.132,3.445
99,-10.638,1.159
100,-11.144,3.452
101,-11.652,1.169
102,-12.133,3.461
103,-12.649,1.174
104,-13.133,3.463
105,-13.637,1.178
106,-14.132,3.472
107,-14.647,1.183
108,-15.129,3.487
109,-15.62,1.187
110,-16.103,3.491
111,-16.594,1.194
112,-17.1,-1.106
113,-17.563,1.193
114,-18.064,-1.101
115,-18.515,-3.355
116,-19.027,-1.103
117,-19.468,-3.357
118,-19.972,-1.099
119,-20.402,-3.356
120,-20.907,-1.095
121,-21.349,-3.356
122,-21.841,-1.083
123,-22.268,-3.351
124,-22.761,-1.083
125,-23.162,-3.364
126,-23.672,-1.091
127,-24.099,-3.365
128,-24.982,-3.369
