Channel,Elevation,Azimuth
1,14.395,3.16
2,13.496,3.147
3,13.031,0.973
4,12.584,3.155
5,12.134,0.977
6,11.668,3.153
7,11.17,0.982
8,10.753,3.144
9,10.271,0.979
10,9.772,3.153
11,9.316,0.985
12,8.858,3.154
13,8.353,0.983
14,7.872,3.158
15,7.403,0.987
16,6.941,-1.244
17,6.442,0.986
18,5.974,-1.233
19,5.451,-3.44
20,4.976,-1.245
21,4.47,-3.423
22,4.002,-1.242
23,3.474,-3.423
24,3.018,-1.244
25,2.477,-3.42
26,2.011,-1.241
27,1.837,7.617
28,1.74,5.422
29,1.608,3.19
30,1.488,-3.427
31,1.349,0.991
32,1.228,-5.621
33,1.089,-7.82
34,0.992,-1.24
35,0.858,7.625
36,0.724,5.429
37,0.597,3.207
38,0.479,-3.418
39,0.376,0.992
40,0.241,-5.631
41,0.112,-7.819
42,0.003,-1.235
43,-0.166,7.631
44,-0.31,5.444
45,-0.421,3.206
46,-0.518,-3.41
47,-0.643,0.993
48,-0.757,-5.629
49,-0.896,-7.826
50,-1.002,-1.237
51,-1.157,7.64
52,-1.276,5.447
53,-1.417,3.21
54,-1.527,-3.425
55,-1.653,0.997
56,-1.755,-5.646
57,-1.901,-7.845
58,-2.016,-1.235
59,-2.153,7.659
60,-2.303,5.464
61,-2.422,3.212
62,-2.574,-3.452
63,-2.669,1.004
64,-2.811,-5.655
65,-2.912,-7.851
66,-3.035,-1.244
67,-3.168,7.67
68,-3.309,5.466
69,-3.445,3.22
70,-3.6,-3.453
71,-3.691,1.006
72,-3.813,-5.653
73,-3.922,-7.861
74,-4.059,-1.246
75,-4.193,7.675
76,-4.344,5.48
77,-4.462,3.228
78,-4.583,-3.431
79,-4.745,1.015
80,-4.818,-5.656
81,-4.919,-7.871
82,-5.08,-1.24
83,-5.202,7.694
84,-5.335,5.487
85,-5.478,3.234
86,-5.608,-3.44
87,-5.743,1.012
88,-5.829,-5.667
89,-5.924,-7.888
90,-6.106,-1.248
91,-6.608,-3.464
92,-7.108,-1.249
93,-7.629,-3.481
94,-8.117,-1.245
95,-8.655,-3.47
96,-9.151,3.267
97,-9.661,-3.49
98,-10.175,3.275
99,-10.688,1.022
100,-11.17,3.285
101,-11.692,1.033
102,-12.183,3.3
103,-12.681,1.036
104,-13.194,3.307
105,-13.682,1.04
106,-14.163,3.32
107,-14.662,1.049
108,-15.154,3.334
109,-15.659,1.061
110,-16.108,3.339
111,-16.628,1.064
112,-17.088,-1.225
113,-17.598,1.069
114,-18.051,-1.224
115,-18.521,-3.5
116,-19.007,-1.22
117,-19.469,-3.493
118,-19.963,-1.222
119,-20.423,-3.496
120,-20.888,-1.222
121,-21.362,-3.498
122,-21.829,-1.221
123,-22.273,-3.51
124,-22.745,-1.221
125,-23.189,-3.504
126,-23.664,-1.219
127,-24.081,-3.524
128,-24.977,-3.512
