Channel,Elevation,Azimuth
1,14.426,3.372
2,13.535,3.379
3,13.089,1.194
4,12.611,3.376
5,12.185,1.198
6,11.684,3.376
7,11.243,1.197
8,10.773,3.374
9,10.308,1.192
10,9.824,3.371
11,9.371,1.185
12,8.888,3.373
13,8.414,1.183
14,7.905,3.363
15,7.42,1.178
16,6.97,-1.044
17,6.477,1.173
18,5.963,-1.042
19,5.495,-3.229
20,4.995,-1.046
21,4.513,-3.227
22,4.01,-1.046
23,3.52,-3.236
24,3.024,-1.05
25,2.52,-3.24
26,2.026,-1.055
27,1.867,7.797
28,1.756,5.619
29,1.626,3.386
30,1.524,-3.252
31,1.379,1.169
32,1.268,-5.452
33,1.124,-7.64
34,1.027,-1.059
35,0.868,7.804
36,0.744,5.609
37,0.619,3.39
38,0.533,-3.246
39,0.386,1.165
40,0.275,-5.467
41,0.139,-7.653
42,0.016,-1.052
43,-0.134,7.809
44,-0.251,5.626
45,-0.38,3.395
46,-0.48,-3.257
47,-0.634,1.173
48,-0.751,-5.472
49,-0.892,-7.66
50,-0.989,-1.061
51,-1.147,7.832
52,-1.256,5.626
53,-1.388,3.399
54,-1.48,-3.265
55,-1.63,1.172
56,-1.76,-5.473
57,-1.873,-7.672
58,-2.007,-1.061
59,-2.157,7.842
60,-2.275,5.636
61,-2.406,3.408
62,-2.499,-3.274
63,-2.653,1.171
64,-2.776,-5.491
65,-2.897,-7.682
66,-3.032,-1.066
67,-3.177,7.842
68,-3.301,5.642
69,-3.428,3.416
70,-3.52,-3.272
71,-3.684,1.174
72,-3.784,-5.501
73,-3.895,-7.693
74,-4.051,-1.075
75,-4.196,7.865
76,-4.324,5.659
77,-4.433,3.422
78,-4.549,-3.285
79,-4.698,1.178
80,-4.808,-5.504
81,-4.912,-7.709
82,-5.082,-1.075
83,-5.185,7.874
84,-5.338,5.664
85,-5.459,3.426
86,-5.578,-3.29
87,-5.731,1.179
88,-5.841,-5.513
89,-5.925,-7.722
90,-6.094,-1.078
91,-6.569,-3.298
92,-7.136,-1.078
93,-7.609,-3.302
94,-8.151,-1.085
95,-8.643,-3.308
96,-9.148,3.463
97,-9.624,-3.31
98,-10.138,3.469
99,-10.692,1.199
100,-11.176,3.48
101,-11.682,1.21
102,-12.188,3.491
103,-12.687,1.219
104,-13.172,3.499
105,-13.674,1.233
106,-14.139,3.499
107,-14.663,1.236
108,-15.124,3.515
109,-15.646,1.243
110,-16.096,3.536
111,-16.637,1.253
112,-17.143,-1.082
113,-17.59,1.262
114,-18.09,-1.077
115,-18.531,-3.358
116,-19.052,-1.071
117,-19.483,-3.355
118,-20.002,-1.059
119,-20.429,-3.367
120,-20.947,-1.068
121,-21.364,-3.373
122,-21.871,-1.071
123,-22.279,-3.356
124,-22.794,-1.071
125,-23.209,-3.379
126,-23.681,-1.074
127,-24.116,-3.378
128,-24.985,-3.376
