Channel,Elevation,Azimuth
1,14.417,3.323
2,13.507,3.315
3,13.057,1.121
4,12.596,3.325
5,12.15,1.122
6,11.685,3.324
7,11.222,1.121
8,10.744,3.321
9,10.289,1.129
10,9.768,3.327
11,9.356,1.126
12,8.845,3.326
13,8.403,1.127
14,7.884,3.334
15,7.456,1.131
16,6.925,-1.092
17,6.46,1.133
18,5.974,-1.092
19,5.433,-3.239
20,4.982,-1.085
21,4.463,-3.235
22,3.997,-1.079
23,3.46,-3.239
24,2.987,-1.07
25,2.464,-3.245
26,2.009,-1.071
27,1.901,7.788
28,1.756,5.599
29,1.655,3.362
30,1.49,-3.245
31,1.416,1.144
32,1.223,-5.445
33,1.097,-7.587
34,1.005,-1.07
35,0.886,7.802
36,0.775,5.609
37,0.653,3.376
38,0.501,-3.249
39,0.421,1.147
40,0.227,-5.447
41,0.096,-7.595
42,0.002,-1.07
43,-0.123,7.816
44,-0.238,5.618
45,-0.352,3.383
46,-0.528,-3.232
47,-0.589,1.151
48,-0.772,-5.448
49,-0.918,-7.607
50,-0.993,-1.065
51,-1.121,7.825
52,-1.232,5.631
53,-1.36,3.393
54,-1.545,-3.255
55,-1.626,1.16
56,-1.775,-5.458
57,-1.911,-7.613
58,-2.021,-1.067
59,-2.124,7.836
60,-2.231,5.631
61,-2.39,3.398
62,-2.541,-3.258
63,-2.635,1.164
64,-2.798,-5.456
65,-2.917,-7.621
66,-3.028,-1.062
67,-3.136,7.844
68,-3.27,5.647
69,-3.397,3.403
70,-3.547,-3.273
71,-3.648,1.171
72,-3.794,-5.462
73,-3.94,-7.634
74,-4.052,-1.066
75,-4.151,7.853
76,-4.291,5.661
77,-4.424,3.416
78,-4.574,-3.275
79,-4.676,1.17
80,-4.821,-5.473
81,-4.965,-7.642
82,-5.08,-1.062
83,-5.154,7.875
84,-5.296,5.677
85,-5.46,3.423
86,-5.575,-3.282
87,-5.722,1.173
88,-5.823,-5.478
89,-5.953,-7.647
90,-6.12,-1.065
91,-6.608,-3.286
92,-7.14,-1.068
93,-7.639,-3.291
94,-8.145,-1.07
95,-8.62,-3.297
96,-9.148,3.466
97,-9.673,-3.3
98,-10.152,3.474
99,-10.668,1.206
100,-11.125,3.485
101,-11.654,1.209
102,-12.138,3.494
103,-12.651,1.219
104,-13.141,3.525
105,-13.661,1.23
106,-14.148,3.544
107,-14.63,1.225
108,-15.107,3.556
109,-15.616,1.242
110,-16.095,3.574
111,-16.618,1.251
112,-17.093,-1.066
113,-17.578,1.255
114,-18.104,-1.054
115,-18.541,-3.332
116,-19.038,-1.055
117,-19.476,-3.327
118,-19.992,-1.053
119,-20.445,-3.332
120,-20.914,-1.055
121,-21.371,-3.338
122,-21.864,-1.043
123,-22.3,-3.328
124,-22.778,-1.051
125,-23.2,-3.335
126,-23.681,-1.051
127,-24.112,-3.332
128,-25.008,-3.334
