Channel,Elevation,Azimuth
1,14.454,3.542
2,13.552,3.543
3,13.097,1.343
4,12.627,3.544
5,12.154,1.343
6,11.706,3.541
7,11.233,1.348
8,10.801,3.541
9,10.309,1.341
10,9.821,3.539
11,9.366,1.338
12,8.892,3.544
13,8.407,1.336
14,7.921,3.538
15,7.45,1.33
16,6.96,-0.849
17,6.472,1.328
18,5.978,-0.85
19,5.481,-3.075
20,5.004,-0.847
21,4.501,-3.076
22,4.024,-0.846
23,3.521,-3.068
24,3.026,-0.832
25,2.54,-3.071
26,2.015,-0.842
27,1.851,8.014
28,1.751,5.821
29,1.631,3.573
30,1.511,-3.071
31,1.392,1.335
32,1.252,-5.248
33,1.117,-7.408
34,1.023,-0.83
35,0.851,8.025
36,0.738,5.826
37,0.634,3.581
38,0.502,-3.067
39,0.388,1.338
40,0.269,-5.244
41,0.108,-7.412
42,-0.006,-0.841
43,-0.143,8.038
44,-0.254,5.834
45,-0.371,3.573
46,-0.502,-3.068
47,-0.617,1.347
48,-0.758,-5.246
49,-0.894,-7.437
50,-1.001,-0.839
51,-1.14,8.055
52,-1.263,5.842
53,-1.374,3.59
54,-1.502,-3.072
55,-1.628,1.354
56,-1.768,-5.256
57,-1.884,-7.422
58,-2.014,-0.84
59,-2.166,8.067
60,-2.258,5.849
61,-2.408,3.593
62,-2.533,-3.071
63,-2.643,1.358
64,-2.787,-5.262
65,-2.909,-7.443
66,-3.032,-0.843
67,-3.164,8.091
68,-3.291,5.87
69,-3.427,3.599
70,-3.545,-3.068
71,-3.676,1.358
72,-3.803,-5.259
73,-3.923,-7.459
74,-4.054,-0.849
75,-4.189,8.104
76,-4.306,5.879
77,-4.452,3.608
78,-4.572,-3.068
79,-4.716,1.363
80,-4.807,-5.282
81,-4.918,-7.46
82,-5.074,-0.846
83,-5.178,8.14
84,-5.33,5.893
85,-5.477,3.614
86,-5.564,-3.07
87,-5.714,1.366
88,-5.836,-5.28
89,-5.934,-7.461
90,-6.115,-0.845
91,-6.591,-3.071
92,-7.118,-0.849
93,-7.616,-3.075
94,-8.143,-0.854
95,-8.63,-3.082
96,-9.143,3.645
97,-9.64,-3.086
98,-10.161,3.658
99,-10.679,1.391
100,-11.174,3.68
101,-11.681,1.397
102,-12.172,3.685
103,-12.679,1.401
104,-13.165,3.696
105,-13.66,1.408
106,-14.167,3.711
107,-14.658,1.419
108,-15.136,3.717
109,-15.658,1.418
110,-16.122,3.728
111,-16.63,1.422
112,-17.109,-0.843
113,-17.6,1.431
114,-18.073,-0.835
115,-18.544,-3.091
116,-19.044,-0.834
117,-19.487,-3.104
118,-19.99,-0.823
119,-20.442,-3.101
120,-20.932,-0.822
121,-21.374,-3.1
122,-21.848,-0.816
123,-22.309,-3.106
124,-22.78,-0.818
125,-23.227,-3.099
126,-23.677,-0.813
127,-24.117,-3.103
128,-24.999,-3.121
